Change component parameters: Designator = "RPI1" ("RPI1"); Footprint = "RPI"; UniqueID = "\NVOIFUQS" ("\NVOIFUQS")
Add component (AddParameter): Name = "Lead Free"; Value = "Lead Free"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Length"; Value = "1.6mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Operating Temperature"; Value = "125°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Min Operating Temperature"; Value = "-55°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mount"; Value = "Surface Mount"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package Quantity"; Value = "1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packaging"; Value = "Tape and Reel"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Radiation Hardening"; Value = "No"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Ratings"; Value = "AEC-Q200"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "REACH SVHC"; Value = "No SVHC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Termination"; Value = "SMD/SMT"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Thickness"; Value = "0.035inch"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "10%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage"; Value = "50V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage Rating"; Value = "50V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage Rating (DC)"; Value = "50V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Weight"; Value = "7.1E-05oz"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Width"; Value = "0.8mm"; VariantName = "[No Variations]"
Added Component: Designator=C14(CAPC2013X135X45ML10T25)
Add component (AddParameter): Name = "Manufacturer"; Value = "Murata"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Number"; Value = "GRM21BR71E154KA01L"; VariantName = "[No Variations]"
Added Component: Designator=C15(CAPC2013X135X45ML10T25)
Add component (AddParameter): Name = "Manufacturer"; Value = "Murata"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Number"; Value = "GRM21BR71E154KA01L"; VariantName = "[No Variations]"
Added Component: Designator=C16(CAPC2013X135X45ML10T25)
Add component (AddParameter): Name = "Manufacturer"; Value = "Murata"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Number"; Value = "GRM21BR71E154KA01L"; VariantName = "[No Variations]"
Added Component: Designator=C17(FP-GCM21B-0_15-MFG)
Added Component: Designator=C18(FP-CGA3E-0_3-0_1-IPC_A)
Add component (AddParameter): Name = "Capacitance"; Value = "100nF"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Case Code (Imperial)"; Value = "0603"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Case Code (Metric)"; Value = "1608"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Case/Package"; Value = "0603"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Composition"; Value = "Ceramic"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Depth"; Value = "0.8mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Dielectric"; Value = "X7R"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height"; Value = "0.8mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lead Free"; Value = "Lead Free"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Length"; Value = "1.6mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Operating Temperature"; Value = "125°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Min Operating Temperature"; Value = "-55°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mount"; Value = "Surface Mount"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package Quantity"; Value = "1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packaging"; Value = "Tape and Reel"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Radiation Hardening"; Value = "No"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Ratings"; Value = "AEC-Q200"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "REACH SVHC"; Value = "No SVHC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Termination"; Value = "SMD/SMT"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Thickness"; Value = "0.035inch"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "10%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage"; Value = "50V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage Rating"; Value = "50V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage Rating (DC)"; Value = "50V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Weight"; Value = "7.1E-05oz"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Width"; Value = "0.8mm"; VariantName = "[No Variations]"
Added Component: Designator=C19(FP-GCM21B-0_15-MFG)
Added Component: Designator=C20(FP-CGA3E-0_3-0_1-IPC_A)
Add component (AddParameter): Name = "Capacitance"; Value = "100nF"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Case Code (Imperial)"; Value = "0603"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Case Code (Metric)"; Value = "1608"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Case/Package"; Value = "0603"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Composition"; Value = "Ceramic"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Depth"; Value = "0.8mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Dielectric"; Value = "X7R"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height"; Value = "0.8mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lead Free"; Value = "Lead Free"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Length"; Value = "1.6mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Operating Temperature"; Value = "125°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Min Operating Temperature"; Value = "-55°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mount"; Value = "Surface Mount"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package Quantity"; Value = "1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packaging"; Value = "Tape and Reel"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Radiation Hardening"; Value = "No"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Ratings"; Value = "AEC-Q200"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "REACH SVHC"; Value = "No SVHC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Termination"; Value = "SMD/SMT"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Thickness"; Value = "0.035inch"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "10%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage"; Value = "50V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage Rating"; Value = "50V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage Rating (DC)"; Value = "50V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Weight"; Value = "7.1E-05oz"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Width"; Value = "0.8mm"; VariantName = "[No Variations]"
Added Component: Designator=C21(FP-GCM21B-0_15-MFG)
Added Component: Designator=C22(FP-CGA3E-0_3-0_1-IPC_A)
Add component (AddParameter): Name = "Capacitance"; Value = "100nF"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Case Code (Imperial)"; Value = "0603"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Case Code (Metric)"; Value = "1608"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Case/Package"; Value = "0603"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Composition"; Value = "Ceramic"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Depth"; Value = "0.8mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Dielectric"; Value = "X7R"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height"; Value = "0.8mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lead Free"; Value = "Lead Free"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Length"; Value = "1.6mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Operating Temperature"; Value = "125°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Min Operating Temperature"; Value = "-55°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mount"; Value = "Surface Mount"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package Quantity"; Value = "1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packaging"; Value = "Tape and Reel"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Radiation Hardening"; Value = "No"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Ratings"; Value = "AEC-Q200"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "REACH SVHC"; Value = "No SVHC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Termination"; Value = "SMD/SMT"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Thickness"; Value = "0.035inch"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "10%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage"; Value = "50V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage Rating"; Value = "50V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage Rating (DC)"; Value = "50V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Weight"; Value = "7.1E-05oz"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Width"; Value = "0.8mm"; VariantName = "[No Variations]"
Added Component: Designator=C23(WCAP-ATG5_D5H11)
Add component (AddParameter): Name = "Capacitance"; Value = "1µF"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Case/Package"; Value = "Radial"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Diameter"; Value = "5mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ESR (Equivalent Series Resistance)"; Value = "39.553O"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height"; Value = "11mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height - Seated (Max)"; Value = "12.4968mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Hole Diameter"; Value = "800µm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lead Pitch"; Value = "2.0066mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Leakage Current"; Value = "3µA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Length"; Value = "11mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Life (Hours)"; Value = "2000hours"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Operating Temperature"; Value = "105°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Min Operating Temperature"; Value = "-40°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mount"; Value = "Through Hole"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "NexarPartId"; Value = "53914228"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packaging"; Value = "Tape & Box (TB)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Pitch"; Value = "2mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Polarity"; Value = "Polar"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "REACH SVHC"; Value = "Unknown"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Ripple Current"; Value = "13mA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS"; Value = "Compliant"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "20%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage Rating"; Value = "50V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage Rating (DC)"; Value = "50V"; VariantName = "[No Variations]"
Added Component: Designator=C24(WCAP-ATG8_D10H16)
Add component (AddParameter): Name = "Capacitance"; Value = "330µF"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Case/Package"; Value = "Radial"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Diameter"; Value = "10mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height"; Value = "16mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height - Seated (Max)"; Value = "17.5006mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lead Pitch"; Value = "5.0038mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Leakage Current"; Value = "165µA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Length"; Value = "16mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Life (Hours)"; Value = "2000hours"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Operating Temperature"; Value = "85°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Min Operating Temperature"; Value = "-40°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mount"; Value = "Through Hole"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "NexarPartId"; Value = "54007271"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packaging"; Value = "Cut Tape (CT)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Pitch"; Value = "5mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Polarity"; Value = "Polar"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "REACH SVHC"; Value = "Unknown"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Ripple Current"; Value = "649mA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS"; Value = "Compliant"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "20%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage Rating"; Value = "50V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage Rating (DC)"; Value = "50V"; VariantName = "[No Variations]"
Added Component: Designator=C25(WCAP-ATG8_D10H16)
Add component (AddParameter): Name = "Capacitance"; Value = "330µF"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Case/Package"; Value = "Radial"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Diameter"; Value = "10mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height"; Value = "16mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height - Seated (Max)"; Value = "17.5006mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lead Pitch"; Value = "5.0038mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Leakage Current"; Value = "165µA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Length"; Value = "16mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Life (Hours)"; Value = "2000hours"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Operating Temperature"; Value = "85°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Min Operating Temperature"; Value = "-40°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mount"; Value = "Through Hole"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "NexarPartId"; Value = "54007271"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packaging"; Value = "Cut Tape (CT)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Pitch"; Value = "5mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Polarity"; Value = "Polar"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "REACH SVHC"; Value = "Unknown"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Ripple Current"; Value = "649mA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS"; Value = "Compliant"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "20%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage Rating"; Value = "50V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage Rating (DC)"; Value = "50V"; VariantName = "[No Variations]"
Added Component: Designator=C26(WCAP-ATG5_D5H11)
Add component (AddParameter): Name = "Capacitance"; Value = "1µF"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Case/Package"; Value = "Radial"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Diameter"; Value = "5mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ESR (Equivalent Series Resistance)"; Value = "39.553O"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height"; Value = "11mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height - Seated (Max)"; Value = "12.4968mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Hole Diameter"; Value = "800µm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lead Pitch"; Value = "2.0066mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Leakage Current"; Value = "3µA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Length"; Value = "11mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Life (Hours)"; Value = "2000hours"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Operating Temperature"; Value = "105°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Min Operating Temperature"; Value = "-40°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mount"; Value = "Through Hole"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "NexarPartId"; Value = "53914228"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packaging"; Value = "Tape & Box (TB)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Pitch"; Value = "2mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Polarity"; Value = "Polar"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "REACH SVHC"; Value = "Unknown"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Ripple Current"; Value = "13mA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS"; Value = "Compliant"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "20%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage Rating"; Value = "50V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage Rating (DC)"; Value = "50V"; VariantName = "[No Variations]"
Added Component: Designator=C27(WCAP-ATG8_D10H16)
Add component (AddParameter): Name = "Capacitance"; Value = "330µF"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Case/Package"; Value = "Radial"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Diameter"; Value = "10mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height"; Value = "16mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height - Seated (Max)"; Value = "17.5006mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lead Pitch"; Value = "5.0038mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Leakage Current"; Value = "165µA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Length"; Value = "16mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Life (Hours)"; Value = "2000hours"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Operating Temperature"; Value = "85°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Min Operating Temperature"; Value = "-40°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mount"; Value = "Through Hole"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "NexarPartId"; Value = "54007271"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packaging"; Value = "Cut Tape (CT)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Pitch"; Value = "5mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Polarity"; Value = "Polar"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "REACH SVHC"; Value = "Unknown"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Ripple Current"; Value = "649mA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS"; Value = "Compliant"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "20%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage Rating"; Value = "50V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage Rating (DC)"; Value = "50V"; VariantName = "[No Variations]"
Added Component: Designator=C28(WCAP-ATG8_D10H16)
Add component (AddParameter): Name = "Capacitance"; Value = "330µF"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Case/Package"; Value = "Radial"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Diameter"; Value = "10mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height"; Value = "16mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height - Seated (Max)"; Value = "17.5006mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lead Pitch"; Value = "5.0038mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Leakage Current"; Value = "165µA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Length"; Value = "16mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Life (Hours)"; Value = "2000hours"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Operating Temperature"; Value = "85°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Min Operating Temperature"; Value = "-40°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mount"; Value = "Through Hole"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "NexarPartId"; Value = "54007271"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packaging"; Value = "Cut Tape (CT)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Pitch"; Value = "5mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Polarity"; Value = "Polar"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "REACH SVHC"; Value = "Unknown"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Ripple Current"; Value = "649mA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS"; Value = "Compliant"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "20%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage Rating"; Value = "50V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage Rating (DC)"; Value = "50V"; VariantName = "[No Variations]"
Added Component: Designator=C29(WCAP-ATG5_D5H11)
Add component (AddParameter): Name = "Capacitance"; Value = "1µF"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Case/Package"; Value = "Radial"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Diameter"; Value = "5mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ESR (Equivalent Series Resistance)"; Value = "39.553O"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height"; Value = "11mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height - Seated (Max)"; Value = "12.4968mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Hole Diameter"; Value = "800µm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lead Pitch"; Value = "2.0066mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Leakage Current"; Value = "3µA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Length"; Value = "11mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Life (Hours)"; Value = "2000hours"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Operating Temperature"; Value = "105°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Min Operating Temperature"; Value = "-40°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mount"; Value = "Through Hole"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "NexarPartId"; Value = "53914228"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packaging"; Value = "Tape & Box (TB)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Pitch"; Value = "2mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Polarity"; Value = "Polar"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "REACH SVHC"; Value = "Unknown"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Ripple Current"; Value = "13mA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS"; Value = "Compliant"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "20%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage Rating"; Value = "50V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage Rating (DC)"; Value = "50V"; VariantName = "[No Variations]"
Added Component: Designator=C30(WCAP-ATG8_D10H16)
Add component (AddParameter): Name = "Capacitance"; Value = "330µF"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Case/Package"; Value = "Radial"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Diameter"; Value = "10mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height"; Value = "16mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height - Seated (Max)"; Value = "17.5006mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lead Pitch"; Value = "5.0038mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Leakage Current"; Value = "165µA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Length"; Value = "16mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Life (Hours)"; Value = "2000hours"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Operating Temperature"; Value = "85°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Min Operating Temperature"; Value = "-40°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mount"; Value = "Through Hole"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "NexarPartId"; Value = "54007271"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packaging"; Value = "Cut Tape (CT)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Pitch"; Value = "5mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Polarity"; Value = "Polar"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "REACH SVHC"; Value = "Unknown"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Ripple Current"; Value = "649mA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS"; Value = "Compliant"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "20%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage Rating"; Value = "50V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage Rating (DC)"; Value = "50V"; VariantName = "[No Variations]"
Added Component: Designator=C31(WCAP-ATG8_D10H16)
Add component (AddParameter): Name = "Capacitance"; Value = "330µF"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Case/Package"; Value = "Radial"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Diameter"; Value = "10mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height"; Value = "16mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height - Seated (Max)"; Value = "17.5006mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lead Pitch"; Value = "5.0038mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Leakage Current"; Value = "165µA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Length"; Value = "16mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Life (Hours)"; Value = "2000hours"; VariantName = "[No Variations]"
